trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
115,False,"{'a': 0.5, 'e': 0.3179890638191435}",20,10,-22.387995379655415,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.31480917318095203}",20,13,-1.7492344185170734,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3116610814491425}",20,10,-39.97877215734738,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.30854447063465107}",35,20,-21.8687614646842,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.3054590259283046}",30,16,1.833310371833234,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.30240443566902153}",20,12,4.205446221419637,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.2993803913123313}",20,6,-22.00252530980682,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.296386587399208}",30,13,-0.003376135771363531,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.2934227215252159}",25,13,22.137337523790592,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.29048849430996376}",25,0,36.3981568001565,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2875836093668641}",20,10,-0.5544533008708639,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28470777327319546}",30,13,25.41805699123733,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.2818606955404635}",30,7,-93.81069812437198,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 2}",1
128,False,"{'a': 0.5, 'e': 0.27904208858505886}",20,15,7.83908609742632,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2762516676992083}",20,10,2.619181275254695,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2734891510222162}",20,14,9.658292381169211,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.27075425951199406}",25,8,15.095835357499098,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2680467169168741}",30,0,15.013881378418201,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.26536624974770534}",20,0,-47.714421480656846,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
134,False,"{'a': 0.5, 'e': 0.2627125872502283}",30,20,20.487694449195786,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.26008546137772603}",25,11,-22.12320579895318,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.25748460676394874}",20,16,6.442433068073443,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.2549097606963093}",30,22,9.202433237550036,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.2523606630893462}",25,18,1.6722164882940018,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.2498370564584527}",20,0,-42.25909026421939,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.24733868589386818}",20,4,15.818415707253571,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24486529903492948}",30,12,15.222689165189319,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.2424166460445802}",25,15,17.709057652902995,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.2399924795841344}",30,9,-58.110896254788095,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
